id,model,make,mount,max_aperture,min_focal_length,max_focal_length,created_at
Yashica ML Zoom 35-105mm,ML Zoom 35-105mm 1:3.5-4.5,Yashica,Contax/Yashica,3.5,35,105,2023-02-28T07:21:35.755256Z
Makinon MC Zoom 28-80mm 1:3.5,MC Zoom 28-80mm 1:3.5,Makinon,Contax/Yashica,3.5,28,80,2023-02-28T07:19:56.290897Z
Yashica DSB 50mm 1:1.9,DSB 50mm 1:1.9,Yashica,Contax/Yashica,1.9,50,50,2023-02-28T07:19:15.861783Z
Carenar 35mm 1:2.8,35mm 1:2.8,Carenar,M42,2.8,35,35,2023-02-28T07:15:51.416531Z
Sun Auto Zoom 85-210mm F:3.8,Auto Zoom 85-210mm F:3.8,Sun,M42,3.8,85,210,2023-02-28T07:15:24.508895Z
"aus Jena DDR T 2,8/50","T 2,8/50",aus Jena DDR,M42,2.8,50,50,2023-02-28T07:14:35.945453Z
